,_id,year,level_1,level_2,value
166,167,2011,Community Hospitals Admissions,Public,572
167,168,2011,Community Hospitals Admissions,Non-public,7107
168,169,2012,Acute Hospitals Admissions,Public,354076
169,170,2012,Acute Hospitals Admissions,Non-public,105826
170,171,2012,Psychiatric Hospitals Admissions,Public,8382
171,172,2012,Psychiatric Hospitals Admissions,Non-public,0
172,173,2012,Community Hospitals Admissions,Public,688
173,174,2012,Community Hospitals Admissions,Non-public,7063
174,175,2013,Acute Hospitals Admissions,Public,364911
175,176,2013,Acute Hospitals Admissions,Non-public,109282
176,177,2013,Psychiatric Hospitals Admissions,Public,8110
177,178,2013,Psychiatric Hospitals Admissions,Non-public,0
178,179,2013,Community Hospitals Admissions,Public,1053
179,180,2013,Community Hospitals Admissions,Non-public,7649
180,181,2014,Acute Hospitals Admissions,Public,372661
181,182,2014,Acute Hospitals Admissions,Non-public,116913
182,183,2014,Psychiatric Hospitals Admissions,Public,9050
183,184,2014,Psychiatric Hospitals Admissions,Non-public,0
184,185,2014,Community Hospitals Admissions,Public,1467
185,186,2014,Community Hospitals Admissions,Non-public,7600
186,187,2015,Acute Hospitals Admissions,Public,379973
187,188,2015,Acute Hospitals Admissions,Non-public,119916
188,189,2015,Psychiatric Hospitals Admissions,Public,8986
189,190,2015,Psychiatric Hospitals Admissions,Non-public,0
190,191,2015,Community Hospitals Admissions,Public,2187
191,192,2015,Community Hospitals Admissions,Non-public,8483
192,193,2016,Acute Hospitals Admissions,Public,416663
193,194,2016,Acute Hospitals Admissions,Non-public,129593
194,195,2016,Psychiatric Hospitals Admissions,Public,9028
195,196,2016,Psychiatric Hospitals Admissions,Non-public,0
196,197,2016,Community Hospitals Admissions,Public,5432
197,198,2016,Community Hospitals Admissions,Non-public,8449
198,199,2017,Acute Hospitals Admissions,Public,436882
199,200,2017,Acute Hospitals Admissions,Non-public,131235
200,201,2017,Psychiatric Hospitals Admissions,Public,9316
201,202,2017,Psychiatric Hospitals Admissions,Non-public,0
202,203,2017,Community Hospitals Admissions,Public,7361
203,204,2017,Community Hospitals Admissions,Non-public,8994
204,205,2018,Acute Hospitals Admissions,Public,455272
205,206,2018,Acute Hospitals Admissions,Non-public,129547
206,207,2018,Psychiatric Hospitals Admissions,Public,9215
207,208,2018,Psychiatric Hospitals Admissions,Non-public,0
