area,sex,age_group,population
Defu Industrial Park,male,80-84,-
Hougang Central,male,80-84,30
Hougang East,male,80-84,120
Hougang West,male,80-84,310
Kangkar,male,80-84,230
Kovan,male,80-84,180
Lorong Ah Soo,male,80-84,300
Lorong Halus,male,80-84,-
Tai Seng,male,80-84,160
Trafalgar,male,80-84,260
Jurong East - Total,male,80-84,610
International Business Park,male,80-84,-
Jurong Gateway,male,80-84,-
Jurong Port,male,80-84,-
Jurong River,male,80-84,-
Lakeside (Business),male,80-84,-
Lakeside (Leisure),male,80-84,30
Penjuru Crescent,male,80-84,-
Teban Gardens,male,80-84,150
Toh Guan,male,80-84,60
Yuhua East,male,80-84,230
Yuhua West,male,80-84,130
Jurong West - Total,male,80-84,1260
Boon Lay Place,male,80-84,180
Chin Bee,male,80-84,-
Hong Kah,male,80-84,380
Jurong West Central,male,80-84,200
Kian Teck,male,80-84,-
Safti,male,80-84,-
Taman Jurong,male,80-84,160
Wenya,male,80-84,40
Yunnan,male,80-84,300
Kallang - Total,male,80-84,1190
Bendemeer,male,80-84,420
Boon Keng,male,80-84,140
Crawford,male,80-84,180
Geylang Bahru,male,80-84,150
Kallang Bahru,male,80-84,-
Kampong Bugis,male,80-84,10
Kampong Java,male,80-84,120
Lavender,male,80-84,120
Tanjong Rhu,male,80-84,70
Lim Chu Kang - Total,male,80-84,-
Lim Chu Kang,male,80-84,-
Mandai - Total,male,80-84,20
Mandai East,male,80-84,-
Mandai Estate,male,80-84,20
Mandai West,male,80-84,-
Marina East - Total,male,80-84,-
Marina East,male,80-84,-
Marina South - Total,male,80-84,-
Marina South,male,80-84,-
Marine Parade - Total,male,80-84,550
East Coast,male,80-84,-
Katong,male,80-84,80
Marina East (Mp),male,80-84,-
Marine Parade,male,80-84,390
Mountbatten,male,80-84,80
Museum - Total,male,80-84,-
Bras Basah,male,80-84,-
Dhoby Ghaut,male,80-84,-
Fort Canning,male,80-84,-
Newton - Total,male,80-84,50
Cairnhill,male,80-84,30
Goodwood Park,male,80-84,10
Istana Negara,male,80-84,-
Monk's Hill,male,80-84,10
Newton Circus,male,80-84,-
Orange Grove,male,80-84,20
North-Eastern Islands - Total,male,80-84,-
North-Eastern Islands,male,80-84,-
Novena - Total,male,80-84,470
Balestier,male,80-84,340
Dunearn,male,80-84,50
Malcolm,male,80-84,20
Moulmein,male,80-84,50
Mount Pleasant,male,80-84,10
Orchard - Total,male,80-84,10
Boulevard,male,80-84,10
Somerset,male,80-84,-
Tanglin,male,80-84,-
Outram - Total,male,80-84,290
China Square,male,80-84,20
Chinatown,male,80-84,130
Pearl's Hill,male,80-84,140
People's Park,male,80-84,-
Pasir Ris - Total,male,80-84,620
Flora Drive,male,80-84,90
Loyang East,male,80-84,20
Loyang West,male,80-84,20
Pasir Ris Central,male,80-84,130
Pasir Ris Drive,male,80-84,220
Pasir Ris Park,male,80-84,10
Pasir Ris Wafer Fab Park,male,80-84,-
Pasir Ris West,male,80-84,130
Paya Lebar - Total,male,80-84,-
Airport Road,male,80-84,-
Paya Lebar East,male,80-84,-
Paya Lebar North,male,80-84,-
Paya Lebar West,male,80-84,-
Plab,male,80-84,-
Pioneer - Total,male,80-84,-
Benoi Sector,male,80-84,-
Gul Basin,male,80-84,-
Gul Circle,male,80-84,-
Joo Koon,male,80-84,-
Pioneer Sector,male,80-84,-
Punggol - Total,male,80-84,510
Coney Island,male,80-84,-
Matilda,male,80-84,150
Northshore,male,80-84,-
Punggol Canal,male,80-84,-
Punggol Field,male,80-84,200
Punggol Town Centre,male,80-84,50
Waterway East,male,80-84,110
Queenstown - Total,male,80-84,1200
Commonwealth,male,80-84,110
Dover,male,80-84,140
Ghim Moh,male,80-84,200
Holland Drive,male,80-84,220
Kent Ridge,male,80-84,-
Margaret Drive,male,80-84,140
Mei Chin,male,80-84,190
National University Of S'pore,male,80-84,-
One North,male,80-84,-
Pasir Panjang 1,male,80-84,30
Pasir Panjang 2,male,80-84,20
Port,male,80-84,-
Queensway,male,80-84,-
Singapore Polytechnic,male,80-84,-
Tanglin Halt,male,80-84,160
River Valley - Total,male,80-84,50
Institution Hill,male,80-84,10
Leonie Hill,male,80-84,10
One Tree Hill,male,80-84,20
Oxley,male,80-84,10
Paterson,male,80-84,-
Rochor - Total,male,80-84,150
Bencoolen,male,80-84,10
Farrer Park,male,80-84,30
Kampong Glam,male,80-84,-
Little India,male,80-84,40
Mackenzie,male,80-84,-
Mount Emily,male,80-84,10
Rochor Canal,male,80-84,-
Selegie,male,80-84,-
Sungei Road,male,80-84,30
Victoria,male,80-84,30
Seletar - Total,male,80-84,-
Pulau Punggol Barat,male,80-84,-
Pulau Punggol Timor,male,80-84,-
Seletar,male,80-84,-
Seletar Aerospace Park,male,80-84,-
Sembawang - Total,male,80-84,380
Admiralty,male,80-84,60
Sembawang Central,male,80-84,130
Sembawang East,male,80-84,30
Sembawang North,male,80-84,100
Sembawang Springs,male,80-84,50
Sembawang Straits,male,80-84,10
Senoko North,male,80-84,-
Senoko South,male,80-84,-
The Wharves,male,80-84,-
Sengkang - Total,male,80-84,890
Anchorvale,male,80-84,130
Compassvale,male,80-84,70
Fernvale,male,80-84,230
Lorong Halus North,male,80-84,-
Rivervale,male,80-84,220
Sengkang Town Centre,male,80-84,240
Sengkang West,male,80-84,-
Serangoon - Total,male,80-84,1020
Lorong Chuan,male,80-84,70
Seletar Hills,male,80-84,150
Serangoon Central,male,80-84,230
Serangoon Garden,male,80-84,360
Serangoon North,male,80-84,80
Serangoon North Ind Estate,male,80-84,-
Upper Paya Lebar,male,80-84,140
Simpang - Total,male,80-84,-
Pulau Seletar,male,80-84,-
Simpang North,male,80-84,-
Simpang South,male,80-84,-
Tanjong Irau,male,80-84,-
Singapore River - Total,male,80-84,20
Boat Quay,male,80-84,-
Clarke Quay,male,80-84,-
Robertson Quay,male,80-84,10
Southern Islands - Total,male,80-84,-
Sentosa,male,80-84,-
Southern Group,male,80-84,-
Straits View - Total,male,80-84,-
Straits View,male,80-84,-
Sungei Kadut - Total,male,80-84,20
Gali Batu,male,80-84,-
Kranji,male,80-84,-
Pang Sua,male,80-84,-
Reservoir View,male,80-84,-
Turf Club,male,80-84,20
Tampines - Total,male,80-84,1390
Simei,male,80-84,250
Tampines East,male,80-84,710
Tampines North,male,80-84,40
Tampines West,male,80-84,390
Xilin,male,80-84,10
Tanglin - Total,male,80-84,160
Chatsworth,male,80-84,40
Nassim,male,80-84,70
Ridout,male,80-84,10
Tyersall,male,80-84,40
Tengah - Total,male,80-84,-
Brickland,male,80-84,-
Forest Hill,male,80-84,-
Garden,male,80-84,-
Park,male,80-84,-
Plantation,male,80-84,-
Tengah Industrial Estate,male,80-84,-
Toa Payoh - Total,male,80-84,1440
Bidadari,male,80-84,-
Boon Teck,male,80-84,190
Braddell,male,80-84,120
Joo Seng,male,80-84,70
Kim Keat,male,80-84,100
Lorong 8 Toa Payoh,male,80-84,120
Pei Chun,male,80-84,160
Potong Pasir,male,80-84,110
Sennett,male,80-84,60
Toa Payoh Central,male,80-84,290
Toa Payoh West,male,80-84,220
Woodleigh,male,80-84,10
Tuas - Total,male,80-84,-
Tengeh,male,80-84,-
Tuas Bay,male,80-84,-
Tuas North,male,80-84,-
Tuas Promenade,male,80-84,-
Tuas View,male,80-84,-
Tuas View Extension,male,80-84,-
Western Islands - Total,male,80-84,-
Jurong Island And Bukom,male,80-84,-
Semakau,male,80-84,-
Sudong,male,80-84,-
Western Water Catchment - Total,male,80-84,-
Bahar,male,80-84,-
Cleantech,male,80-84,-
Murai,male,80-84,-
Woodlands - Total,male,80-84,1020
Greenwood Park,male,80-84,-
Midview,male,80-84,130
North Coast,male,80-84,100
Senoko West,male,80-84,-
Woodgrove,male,80-84,140
Woodlands East,male,80-84,270
Woodlands Regional Centre,male,80-84,-
Woodlands South,male,80-84,140
Woodlands West,male,80-84,250
Yishun - Total,male,80-84,1110
Khatib,male,80-84,50
Lower Seletar,male,80-84,40
Nee Soon,male,80-84,-
Northland,male,80-84,150
Springleaf,male,80-84,40
Yishun Central,male,80-84,10
Yishun East,male,80-84,210
Yishun South,male,80-84,250
Yishun West,male,80-84,360
Total,male,85-89,13520
Ang Mo Kio - Total,male,85-89,890
Ang Mo Kio Town Centre,male,85-89,10
Cheng San,male,85-89,130
Chong Boon,male,85-89,180
Kebun Bahru,male,85-89,150
Sembawang Hills,male,85-89,40
Shangri-La,male,85-89,90
Tagore,male,85-89,50
Townsville,male,85-89,130
Yio Chu Kang,male,85-89,-
Yio Chu Kang East,male,85-89,20
Yio Chu Kang North,male,85-89,-
Yio Chu Kang West,male,85-89,100
Bedok - Total,male,85-89,1230
Bayshore,male,85-89,20
Bedok North,male,85-89,370
Bedok Reservoir,male,85-89,60
Bedok South,male,85-89,260
Frankel,male,85-89,170
Kaki Bukit,male,85-89,100
Kembangan,male,85-89,200
Siglap,male,85-89,60
Bishan - Total,male,85-89,360
Bishan East,male,85-89,100
Marymount,male,85-89,80
Upper Thomson,male,85-89,190
Boon Lay - Total,male,85-89,-
Liu Fang,male,85-89,-
Samulun,male,85-89,-
Shipyard,male,85-89,-
Tukang,male,85-89,-
Bukit Batok - Total,male,85-89,420
Brickworks,male,85-89,30
Bukit Batok Central,male,85-89,60
Bukit Batok East,male,85-89,40
Bukit Batok South,male,85-89,20
Bukit Batok West,male,85-89,50
Gombak,male,85-89,50
Guilin,male,85-89,50
Hillview,male,85-89,60
Hong Kah North,male,85-89,70
Bukit Merah - Total,male,85-89,900
Alexandra Hill,male,85-89,110
Alexandra North,male,85-89,-
Bukit Ho Swee,male,85-89,80
Bukit Merah,male,85-89,10
City Terminals,male,85-89,-
Depot Road,male,85-89,20
Everton Park,male,85-89,50
Henderson Hill,male,85-89,100
Kampong Tiong Bahru,male,85-89,70
Maritime Square,male,85-89,20
Redhill,male,85-89,40
Singapore General Hospital,male,85-89,-
Telok Blangah Drive,male,85-89,110
Telok Blangah Rise,male,85-89,80
Telok Blangah Way,male,85-89,70
Tiong Bahru,male,85-89,60
Tiong Bahru Station,male,85-89,80
Bukit Panjang - Total,male,85-89,320
Bangkit,male,85-89,80
Dairy Farm,male,85-89,10
Fajar,male,85-89,50
Jelebu,male,85-89,80
Nature Reserve,male,85-89,10
Saujana,male,85-89,40
Senja,male,85-89,40
Bukit Timah - Total,male,85-89,400
Anak Bukit,male,85-89,130
Coronation Road,male,85-89,40
Farrer Court,male,85-89,30
Hillcrest,male,85-89,50
Holland Road,male,85-89,50
Leedon Park,male,85-89,20
Swiss Club,male,85-89,30
Ulu Pandan,male,85-89,60
Central Water Catchment - Total,male,85-89,-
Central Water Catchment,male,85-89,-
Changi- Total,male,85-89,-
Changi Airport,male,85-89,-
Changi Point,male,85-89,-
Changi West,male,85-89,-
Changi Bay - Total,male,85-89,-
Changi Bay,male,85-89,-
Choa Chu Kang - Total,male,85-89,350
Choa Chu Kang Central,male,85-89,40
Choa Chu Kang North,male,85-89,70
Keat Hong,male,85-89,40
Peng Siang,male,85-89,70
Teck Whye,male,85-89,80
Yew Tee,male,85-89,50
Clementi - Total,male,85-89,400
Clementi Central,male,85-89,70
Clementi North,male,85-89,140
Clementi West,male,85-89,50
Clementi Woods,male,85-89,70
Faber,male,85-89,20
Pandan,male,85-89,-
Sunset Way,male,85-89,30
Toh Tuck,male,85-89,-
West Coast,male,85-89,10
Downtown Core - Total,male,85-89,10
Anson,male,85-89,-
Bayfront Subzone,male,85-89,-
Bugis,male,85-89,-
Cecil,male,85-89,-
Central Subzone,male,85-89,-
City Hall,male,85-89,-
Clifford Pier,male,85-89,-
Marina Centre,male,85-89,-
Maxwell,male,85-89,-
Nicoll,male,85-89,-
Phillip,male,85-89,-
Raffles Place,male,85-89,-
Tanjong Pagar,male,85-89,-
Geylang - Total,male,85-89,530
Aljunied,male,85-89,210
Geylang East,male,85-89,150
Kallang Way,male,85-89,-
Kampong Ubi,male,85-89,20
Macpherson,male,85-89,150
Hougang - Total,male,85-89,740
Defu Industrial Park,male,85-89,-
Hougang Central,male,85-89,20
Hougang East,male,85-89,40
Hougang West,male,85-89,150
Kangkar,male,85-89,90
Kovan,male,85-89,90
Lorong Ah Soo,male,85-89,150
Lorong Halus,male,85-89,-
Tai Seng,male,85-89,80
Trafalgar,male,85-89,120
Jurong East - Total,male,85-89,300
International Business Park,male,85-89,-
Jurong Gateway,male,85-89,-
Jurong Port,male,85-89,-
Jurong River,male,85-89,-
Lakeside (Business),male,85-89,-
Lakeside (Leisure),male,85-89,10
Penjuru Crescent,male,85-89,-
Teban Gardens,male,85-89,60
Toh Guan,male,85-89,40
Yuhua East,male,85-89,110
Yuhua West,male,85-89,70
Jurong West - Total,male,85-89,540
Boon Lay Place,male,85-89,80
Chin Bee,male,85-89,-
Hong Kah,male,85-89,170
Jurong West Central,male,85-89,70
Kian Teck,male,85-89,-
Safti,male,85-89,-
Taman Jurong,male,85-89,100
Wenya,male,85-89,20
Yunnan,male,85-89,110
Kallang - Total,male,85-89,530
Bendemeer,male,85-89,180
Boon Keng,male,85-89,60
Crawford,male,85-89,70
Geylang Bahru,male,85-89,70
Kallang Bahru,male,85-89,-
Kampong Bugis,male,85-89,-
Kampong Java,male,85-89,50
Lavender,male,85-89,60
Tanjong Rhu,male,85-89,30
Lim Chu Kang - Total,male,85-89,-
Lim Chu Kang,male,85-89,-
Mandai - Total,male,85-89,10
Mandai East,male,85-89,-
Mandai Estate,male,85-89,10
Mandai West,male,85-89,-
Marina East - Total,male,85-89,-
Marina East,male,85-89,-
Marina South - Total,male,85-89,-
Marina South,male,85-89,-
Marine Parade - Total,male,85-89,290
East Coast,male,85-89,-
Katong,male,85-89,40
Marina East (Mp),male,85-89,-
Marine Parade,male,85-89,190
Mountbatten,male,85-89,50
Museum - Total,male,85-89,-
Bras Basah,male,85-89,-
Dhoby Ghaut,male,85-89,-
Fort Canning,male,85-89,-
Newton - Total,male,85-89,40
Cairnhill,male,85-89,20
Goodwood Park,male,85-89,-
Istana Negara,male,85-89,-
Monk's Hill,male,85-89,-
Newton Circus,male,85-89,-
Orange Grove,male,85-89,10
North-Eastern Islands - Total,male,85-89,-
North-Eastern Islands,male,85-89,-
Novena - Total,male,85-89,260
Balestier,male,85-89,180
Dunearn,male,85-89,30
Malcolm,male,85-89,20
Moulmein,male,85-89,40
Mount Pleasant,male,85-89,10
Orchard - Total,male,85-89,-
Boulevard,male,85-89,-
Somerset,male,85-89,-
Tanglin,male,85-89,-
Outram - Total,male,85-89,130
China Square,male,85-89,10
Chinatown,male,85-89,60
Pearl's Hill,male,85-89,50
People's Park,male,85-89,-
Pasir Ris - Total,male,85-89,320
Flora Drive,male,85-89,40
Loyang East,male,85-89,10
Loyang West,male,85-89,20
Pasir Ris Central,male,85-89,60
Pasir Ris Drive,male,85-89,120
Pasir Ris Park,male,85-89,10
Pasir Ris Wafer Fab Park,male,85-89,-
Pasir Ris West,male,85-89,70
Paya Lebar - Total,male,85-89,-
Airport Road,male,85-89,-
Paya Lebar East,male,85-89,-
Paya Lebar North,male,85-89,-
Paya Lebar West,male,85-89,-
Plab,male,85-89,-
Pioneer - Total,male,85-89,-
Benoi Sector,male,85-89,-
Gul Basin,male,85-89,-
Gul Circle,male,85-89,-
Joo Koon,male,85-89,-
Pioneer Sector,male,85-89,-
Punggol - Total,male,85-89,240
Coney Island,male,85-89,-
Matilda,male,85-89,60
Northshore,male,85-89,-
Punggol Canal,male,85-89,-
Punggol Field,male,85-89,100
Punggol Town Centre,male,85-89,20
Waterway East,male,85-89,60
Queenstown - Total,male,85-89,660
Commonwealth,male,85-89,70
Dover,male,85-89,50
Ghim Moh,male,85-89,120
Holland Drive,male,85-89,130
Kent Ridge,male,85-89,-
Margaret Drive,male,85-89,60
Mei Chin,male,85-89,110
National University Of S'pore,male,85-89,-
One North,male,85-89,-
Pasir Panjang 1,male,85-89,20
Pasir Panjang 2,male,85-89,10
Port,male,85-89,-
Queensway,male,85-89,-
Singapore Polytechnic,male,85-89,-
Tanglin Halt,male,85-89,100
River Valley - Total,male,85-89,30
Institution Hill,male,85-89,10
Leonie Hill,male,85-89,10
One Tree Hill,male,85-89,10
Oxley,male,85-89,-
Paterson,male,85-89,-
Rochor - Total,male,85-89,110
Bencoolen,male,85-89,10
Farrer Park,male,85-89,20
Kampong Glam,male,85-89,10
Little India,male,85-89,40
Mackenzie,male,85-89,-
Mount Emily,male,85-89,-
Rochor Canal,male,85-89,-
Selegie,male,85-89,-
Sungei Road,male,85-89,20
Victoria,male,85-89,10
Seletar - Total,male,85-89,-
Pulau Punggol Barat,male,85-89,-
Pulau Punggol Timor,male,85-89,-
Seletar,male,85-89,-
Seletar Aerospace Park,male,85-89,-
Sembawang - Total,male,85-89,180
Admiralty,male,85-89,30
Sembawang Central,male,85-89,60
Sembawang East,male,85-89,20
Sembawang North,male,85-89,40
Sembawang Springs,male,85-89,40
Sembawang Straits,male,85-89,10
Senoko North,male,85-89,-
Senoko South,male,85-89,-
The Wharves,male,85-89,-
Sengkang - Total,male,85-89,340
Anchorvale,male,85-89,60
Compassvale,male,85-89,20
Fernvale,male,85-89,80
Lorong Halus North,male,85-89,-
Rivervale,male,85-89,90
Sengkang Town Centre,male,85-89,90
Sengkang West,male,85-89,-
Serangoon - Total,male,85-89,520
Lorong Chuan,male,85-89,50
Seletar Hills,male,85-89,70
Serangoon Central,male,85-89,100
Serangoon Garden,male,85-89,210
Serangoon North,male,85-89,40
Serangoon North Ind Estate,male,85-89,-
Upper Paya Lebar,male,85-89,60
Simpang - Total,male,85-89,-
Pulau Seletar,male,85-89,-
Simpang North,male,85-89,-
Simpang South,male,85-89,-
Tanjong Irau,male,85-89,-
Singapore River - Total,male,85-89,10
Boat Quay,male,85-89,-
Clarke Quay,male,85-89,-
Robertson Quay,male,85-89,-
Southern Islands - Total,male,85-89,-
Sentosa,male,85-89,-
Southern Group,male,85-89,-
Straits View - Total,male,85-89,-
Straits View,male,85-89,-
Sungei Kadut - Total,male,85-89,10
Gali Batu,male,85-89,-
Kranji,male,85-89,-
Pang Sua,male,85-89,-
Reservoir View,male,85-89,-
Turf Club,male,85-89,10
Tampines - Total,male,85-89,650
Simei,male,85-89,90
Tampines East,male,85-89,350
Tampines North,male,85-89,30
Tampines West,male,85-89,180
Xilin,male,85-89,-
Tanglin - Total,male,85-89,90
Chatsworth,male,85-89,30
Nassim,male,85-89,30
Ridout,male,85-89,10
Tyersall,male,85-89,20
Tengah - Total,male,85-89,-
Brickland,male,85-89,-
Forest Hill,male,85-89,-
Garden,male,85-89,-
Park,male,85-89,-
Plantation,male,85-89,-
Tengah Industrial Estate,male,85-89,-
Toa Payoh - Total,male,85-89,720
Bidadari,male,85-89,-
Boon Teck,male,85-89,100
Braddell,male,85-89,60
Joo Seng,male,85-89,30
Kim Keat,male,85-89,40
Lorong 8 Toa Payoh,male,85-89,70
Pei Chun,male,85-89,60
Potong Pasir,male,85-89,70
Sennett,male,85-89,40
Toa Payoh Central,male,85-89,150
Toa Payoh West,male,85-89,100
Woodleigh,male,85-89,10
Tuas - Total,male,85-89,-
Tengeh,male,85-89,-
Tuas Bay,male,85-89,-
Tuas North,male,85-89,-
Tuas Promenade,male,85-89,-
Tuas View,male,85-89,-
Tuas View Extension,male,85-89,-
Western Islands - Total,male,85-89,-
Jurong Island And Bukom,male,85-89,-
Semakau,male,85-89,-
Sudong,male,85-89,-
Western Water Catchment - Total,male,85-89,-
Bahar,male,85-89,-
Cleantech,male,85-89,-
Murai,male,85-89,-
Woodlands - Total,male,85-89,500
Greenwood Park,male,85-89,-
Midview,male,85-89,70
North Coast,male,85-89,60
Senoko West,male,85-89,-
Woodgrove,male,85-89,70
Woodlands East,male,85-89,130
Woodlands Regional Centre,male,85-89,-
Woodlands South,male,85-89,60
Woodlands West,male,85-89,120
Yishun - Total,male,85-89,530
Khatib,male,85-89,40
Lower Seletar,male,85-89,10
Nee Soon,male,85-89,10
Northland,male,85-89,50
Springleaf,male,85-89,10
Yishun Central,male,85-89,10
Yishun East,male,85-89,80
Yishun South,male,85-89,110
Yishun West,male,85-89,190
Total,male,90andover,6310
Ang Mo Kio - Total,male,90andover,320
Ang Mo Kio Town Centre,male,90andover,10
Cheng San,male,90andover,50
Chong Boon,male,90andover,60
Kebun Bahru,male,90andover,50
Sembawang Hills,male,90andover,30
Shangri-La,male,90andover,30
Tagore,male,90andover,20
Townsville,male,90andover,50
Yio Chu Kang,male,90andover,-
Yio Chu Kang East,male,90andover,10
Yio Chu Kang North,male,90andover,-
Yio Chu Kang West,male,90andover,30
Bedok - Total,male,90andover,600
Bayshore,male,90andover,10
Bedok North,male,90andover,160
Bedok Reservoir,male,90andover,30
Bedok South,male,90andover,120
Frankel,male,90andover,90
Kaki Bukit,male,90andover,50
Kembangan,male,90andover,110
Siglap,male,90andover,30
Bishan - Total,male,90andover,160
Bishan East,male,90andover,40
Marymount,male,90andover,50
Upper Thomson,male,90andover,80
Boon Lay - Total,male,90andover,-
Liu Fang,male,90andover,-
Samulun,male,90andover,-
Shipyard,male,90andover,-
Tukang,male,90andover,-
Bukit Batok - Total,male,90andover,170
Brickworks,male,90andover,10
Bukit Batok Central,male,90andover,30
Bukit Batok East,male,90andover,20
Bukit Batok South,male,90andover,10
Bukit Batok West,male,90andover,20
Gombak,male,90andover,10
Guilin,male,90andover,20
Hillview,male,90andover,30
Hong Kah North,male,90andover,30
Bukit Merah - Total,male,90andover,480
Alexandra Hill,male,90andover,50
Alexandra North,male,90andover,-
Bukit Ho Swee,male,90andover,70
Bukit Merah,male,90andover,-
City Terminals,male,90andover,-
Depot Road,male,90andover,10
Everton Park,male,90andover,30
Henderson Hill,male,90andover,40
Kampong Tiong Bahru,male,90andover,30
Maritime Square,male,90andover,10
Redhill,male,90andover,40
Singapore General Hospital,male,90andover,-
Telok Blangah Drive,male,90andover,30
Telok Blangah Rise,male,90andover,30
Telok Blangah Way,male,90andover,50
Tiong Bahru,male,90andover,40
Tiong Bahru Station,male,90andover,40
Bukit Panjang - Total,male,90andover,130
Bangkit,male,90andover,40
Dairy Farm,male,90andover,10
Fajar,male,90andover,20
Jelebu,male,90andover,20
Nature Reserve,male,90andover,-
Saujana,male,90andover,20
Senja,male,90andover,20
Bukit Timah - Total,male,90andover,180
Anak Bukit,male,90andover,50
Coronation Road,male,90andover,20
Farrer Court,male,90andover,20
Hillcrest,male,90andover,20
Holland Road,male,90andover,20
Leedon Park,male,90andover,20
Swiss Club,male,90andover,20
Ulu Pandan,male,90andover,20
Central Water Catchment - Total,male,90andover,-
Central Water Catchment,male,90andover,-
Changi- Total,male,90andover,10
Changi Airport,male,90andover,-
Changi Point,male,90andover,-
Changi West,male,90andover,-
Changi Bay - Total,male,90andover,-
Changi Bay,male,90andover,-
Choa Chu Kang - Total,male,90andover,150
Choa Chu Kang Central,male,90andover,20
Choa Chu Kang North,male,90andover,30
Keat Hong,male,90andover,10
Peng Siang,male,90andover,40
Teck Whye,male,90andover,30
Yew Tee,male,90andover,30
Clementi - Total,male,90andover,170
Clementi Central,male,90andover,30
Clementi North,male,90andover,70
Clementi West,male,90andover,20
Clementi Woods,male,90andover,30
Faber,male,90andover,10
Pandan,male,90andover,-
Sunset Way,male,90andover,10
Toh Tuck,male,90andover,-
West Coast,male,90andover,10
Downtown Core - Total,male,90andover,50
Anson,male,90andover,-
Bayfront Subzone,male,90andover,-
Bugis,male,90andover,10
Cecil,male,90andover,-
Central Subzone,male,90andover,-
City Hall,male,90andover,-
Clifford Pier,male,90andover,-
Marina Centre,male,90andover,-
Maxwell,male,90andover,-
Nicoll,male,90andover,-
Phillip,male,90andover,-
Raffles Place,male,90andover,-
Tanjong Pagar,male,90andover,30
Geylang - Total,male,90andover,310
Aljunied,male,90andover,140
Geylang East,male,90andover,70
Kallang Way,male,90andover,-
Kampong Ubi,male,90andover,10
Macpherson,male,90andover,80
Hougang - Total,male,90andover,290
Defu Industrial Park,male,90andover,-
Hougang Central,male,90andover,10
Hougang East,male,90andover,20
Hougang West,male,90andover,50
Kangkar,male,90andover,30
Kovan,male,90andover,60
Lorong Ah Soo,male,90andover,50
Lorong Halus,male,90andover,-
Tai Seng,male,90andover,30
Trafalgar,male,90andover,40
Jurong East - Total,male,90andover,120
International Business Park,male,90andover,-
Jurong Gateway,male,90andover,-
Jurong Port,male,90andover,-
Jurong River,male,90andover,-
Lakeside (Business),male,90andover,-
Lakeside (Leisure),male,90andover,-
Penjuru Crescent,male,90andover,-
Teban Gardens,male,90andover,30
Toh Guan,male,90andover,10
Yuhua East,male,90andover,50
Yuhua West,male,90andover,30
Jurong West - Total,male,90andover,210
Boon Lay Place,male,90andover,30
Chin Bee,male,90andover,-
Hong Kah,male,90andover,50
Jurong West Central,male,90andover,30
Kian Teck,male,90andover,-
Safti,male,90andover,-
Taman Jurong,male,90andover,40
Wenya,male,90andover,10
Yunnan,male,90andover,50
Kallang - Total,male,90andover,320
Bendemeer,male,90andover,90
Boon Keng,male,90andover,40
Crawford,male,90andover,60
Geylang Bahru,male,90andover,40
Kallang Bahru,male,90andover,-
Kampong Bugis,male,90andover,-
Kampong Java,male,90andover,30
Lavender,male,90andover,40
Tanjong Rhu,male,90andover,20
Lim Chu Kang - Total,male,90andover,-
Lim Chu Kang,male,90andover,-
Mandai - Total,male,90andover,-
Mandai East,male,90andover,-
Mandai Estate,male,90andover,-
Mandai West,male,90andover,-
Marina East - Total,male,90andover,-
Marina East,male,90andover,-
Marina South - Total,male,90andover,-
Marina South,male,90andover,-
Marine Parade - Total,male,90andover,160
East Coast,male,90andover,-
Katong,male,90andover,20
Marina East (Mp),male,90andover,-
Marine Parade,male,90andover,110
Mountbatten,male,90andover,30
Museum - Total,male,90andover,-
Bras Basah,male,90andover,-
Dhoby Ghaut,male,90andover,-
Fort Canning,male,90andover,-
Newton - Total,male,90andover,30
Cairnhill,male,90andover,10
Goodwood Park,male,90andover,-
Istana Negara,male,90andover,-
Monk's Hill,male,90andover,10
Newton Circus,male,90andover,-
Orange Grove,male,90andover,-
North-Eastern Islands - Total,male,90andover,-
North-Eastern Islands,male,90andover,-
Novena - Total,male,90andover,140
Balestier,male,90andover,90
Dunearn,male,90andover,20
Malcolm,male,90andover,10
Moulmein,male,90andover,20
Mount Pleasant,male,90andover,10
Orchard - Total,male,90andover,-
Boulevard,male,90andover,-
Somerset,male,90andover,-
Tanglin,male,90andover,-
Outram - Total,male,90andover,120
China Square,male,90andover,-
Chinatown,male,90andover,50
Pearl's Hill,male,90andover,60
People's Park,male,90andover,-
Pasir Ris - Total,male,90andover,140
Flora Drive,male,90andover,20
Loyang East,male,90andover,-
Loyang West,male,90andover,10
Pasir Ris Central,male,90andover,30
Pasir Ris Drive,male,90andover,60
Pasir Ris Park,male,90andover,-
Pasir Ris Wafer Fab Park,male,90andover,-
Pasir Ris West,male,90andover,30
Paya Lebar - Total,male,90andover,-
Airport Road,male,90andover,-
Paya Lebar East,male,90andover,-
Paya Lebar North,male,90andover,-
Paya Lebar West,male,90andover,-
Plab,male,90andover,-
Pioneer - Total,male,90andover,-
Benoi Sector,male,90andover,-
Gul Basin,male,90andover,-
Gul Circle,male,90andover,-
Joo Koon,male,90andover,-
Pioneer Sector,male,90andover,-
Punggol - Total,male,90andover,80
Coney Island,male,90andover,-
Matilda,male,90andover,10
Northshore,male,90andover,-
Punggol Canal,male,90andover,-
Punggol Field,male,90andover,40
Punggol Town Centre,male,90andover,10
Waterway East,male,90andover,20
Queenstown - Total,male,90andover,300
Commonwealth,male,90andover,40
Dover,male,90andover,20
Ghim Moh,male,90andover,40
Holland Drive,male,90andover,70
Kent Ridge,male,90andover,-
Margaret Drive,male,90andover,30
Mei Chin,male,90andover,50
National University Of S'pore,male,90andover,-
One North,male,90andover,-
