area,sex,age_group,population
Serangoon North Ind Estate,total,0-4,-
Upper Paya Lebar,total,0-4,590
Simpang - Total,total,0-4,-
Pulau Seletar,total,0-4,-
Simpang North,total,0-4,-
Simpang South,total,0-4,-
Tanjong Irau,total,0-4,-
Singapore River - Total,total,0-4,210
Boat Quay,total,0-4,-
Clarke Quay,total,0-4,10
Robertson Quay,total,0-4,200
Southern Islands - Total,total,0-4,110
Sentosa,total,0-4,110
Southern Group,total,0-4,-
Straits View - Total,total,0-4,-
Straits View,total,0-4,-
Sungei Kadut - Total,total,0-4,20
Gali Batu,total,0-4,-
Kranji,total,0-4,-
Pang Sua,total,0-4,-
Reservoir View,total,0-4,-
Turf Club,total,0-4,20
Tampines - Total,total,0-4,11740
Simei,total,0-4,1360
Tampines East,total,0-4,5390
Tampines North,total,0-4,1150
Tampines West,total,0-4,3790
Xilin,total,0-4,40
Tanglin - Total,total,0-4,1070
Chatsworth,total,0-4,340
Nassim,total,0-4,500
Ridout,total,0-4,80
Tyersall,total,0-4,160
Tengah - Total,total,0-4,-
Brickland,total,0-4,-
Forest Hill,total,0-4,-
Garden,total,0-4,-
Park,total,0-4,-
Plantation,total,0-4,-
Tengah Industrial Estate,total,0-4,-
Toa Payoh - Total,total,0-4,4350
Bidadari,total,0-4,-
Boon Teck,total,0-4,580
Braddell,total,0-4,310
Joo Seng,total,0-4,360
Kim Keat,total,0-4,200
Lorong 8 Toa Payoh,total,0-4,140
Pei Chun,total,0-4,260
Potong Pasir,total,0-4,360
Sennett,total,0-4,420
Toa Payoh Central,total,0-4,1060
Toa Payoh West,total,0-4,560
Woodleigh,total,0-4,100
Tuas - Total,total,0-4,-
Tengeh,total,0-4,-
Tuas Bay,total,0-4,-
Tuas North,total,0-4,-
Tuas Promenade,total,0-4,-
Tuas View,total,0-4,-
Tuas View Extension,total,0-4,-
Western Islands - Total,total,0-4,-
Jurong Island And Bukom,total,0-4,-
Semakau,total,0-4,-
Sudong,total,0-4,-
Western Water Catchment - Total,total,0-4,30
Bahar,total,0-4,-
Cleantech,total,0-4,-
Murai,total,0-4,30
Woodlands - Total,total,0-4,11490
Greenwood Park,total,0-4,-
Midview,total,0-4,1590
North Coast,total,0-4,300
Senoko West,total,0-4,-
Woodgrove,total,0-4,980
Woodlands East,total,0-4,4960
Woodlands Regional Centre,total,0-4,-
Woodlands South,total,0-4,2100
Woodlands West,total,0-4,1560
Yishun - Total,total,0-4,11670
Khatib,total,0-4,310
Lower Seletar,total,0-4,2220
Nee Soon,total,0-4,30
Northland,total,0-4,910
Springleaf,total,0-4,130
Yishun Central,total,0-4,100
Yishun East,total,0-4,4270
Yishun South,total,0-4,1930
Yishun West,total,0-4,1780
Total,total,5-9,198740
Ang Mo Kio - Total,total,5-9,6100
Ang Mo Kio Town Centre,total,5-9,240
Cheng San,total,5-9,1040
Chong Boon,total,5-9,840
Kebun Bahru,total,5-9,810
Sembawang Hills,total,5-9,310
Shangri-La,total,5-9,560
Tagore,total,5-9,310
Townsville,total,5-9,860
Yio Chu Kang,total,5-9,-
Yio Chu Kang East,total,5-9,170
Yio Chu Kang North,total,5-9,-
Yio Chu Kang West,total,5-9,950
Bedok - Total,total,5-9,11490
Bayshore,total,5-9,490
Bedok North,total,5-9,3080
Bedok Reservoir,total,5-9,1270
Bedok South,total,5-9,1730
Frankel,total,5-9,2060
Kaki Bukit,total,5-9,1250
Kembangan,total,5-9,1360
Siglap,total,5-9,250
Bishan - Total,total,5-9,3720
Bishan East,total,5-9,1130
Marymount,total,5-9,1340
Upper Thomson,total,5-9,1260
Boon Lay - Total,total,5-9,-
Liu Fang,total,5-9,-
Samulun,total,5-9,-
Shipyard,total,5-9,-
Tukang,total,5-9,-
Bukit Batok - Total,total,5-9,6820
Brickworks,total,5-9,1200
Bukit Batok Central,total,5-9,1230
Bukit Batok East,total,5-9,340
Bukit Batok South,total,5-9,710
Bukit Batok West,total,5-9,640
Gombak,total,5-9,490
Guilin,total,5-9,570
Hillview,total,5-9,720
Hong Kah North,total,5-9,930
Bukit Merah - Total,total,5-9,6470
Alexandra Hill,total,5-9,420
Alexandra North,total,5-9,200
Bukit Ho Swee,total,5-9,570
Bukit Merah,total,5-9,50
City Terminals,total,5-9,-
Depot Road,total,5-9,400
Everton Park,total,5-9,290
Henderson Hill,total,5-9,450
Kampong Tiong Bahru,total,5-9,240
Maritime Square,total,5-9,240
Redhill,total,5-9,640
Singapore General Hospital,total,5-9,-
Telok Blangah Drive,total,5-9,870
Telok Blangah Rise,total,5-9,390
Telok Blangah Way,total,5-9,340
Tiong Bahru,total,5-9,670
Tiong Bahru Station,total,5-9,690
Bukit Panjang - Total,total,5-9,7090
Bangkit,total,5-9,730
Dairy Farm,total,5-9,390
Fajar,total,5-9,1680
Jelebu,total,5-9,1090
Nature Reserve,total,5-9,190
Saujana,total,5-9,1660
Senja,total,5-9,1360
Bukit Timah - Total,total,5-9,4900
Anak Bukit,total,5-9,1080
Coronation Road,total,5-9,500
Farrer Court,total,5-9,490
Hillcrest,total,5-9,780
Holland Road,total,5-9,780
Leedon Park,total,5-9,320
Swiss Club,total,5-9,320
Ulu Pandan,total,5-9,630
Central Water Catchment - Total,total,5-9,-
Central Water Catchment,total,5-9,-
Changi- Total,total,5-9,140
Changi Airport,total,5-9,-
Changi Point,total,5-9,10
Changi West,total,5-9,130
Changi Bay - Total,total,5-9,-
Changi Bay,total,5-9,-
Choa Chu Kang - Total,total,5-9,9280
Choa Chu Kang Central,total,5-9,1090
Choa Chu Kang North,total,5-9,1120
Keat Hong,total,5-9,2660
Peng Siang,total,5-9,1750
Teck Whye,total,5-9,760
Yew Tee,total,5-9,1890
Clementi - Total,total,5-9,4340
Clementi Central,total,5-9,610
Clementi North,total,5-9,1220
Clementi West,total,5-9,630
Clementi Woods,total,5-9,740
Faber,total,5-9,430
Pandan,total,5-9,-
Sunset Way,total,5-9,230
Toh Tuck,total,5-9,-
West Coast,total,5-9,480
Downtown Core - Total,total,5-9,110
Anson,total,5-9,-
Bayfront Subzone,total,5-9,-
Bugis,total,5-9,30
Cecil,total,5-9,10
Central Subzone,total,5-9,40
City Hall,total,5-9,-
Clifford Pier,total,5-9,-
Marina Centre,total,5-9,-
Maxwell,total,5-9,-
Nicoll,total,5-9,10
Phillip,total,5-9,-
Raffles Place,total,5-9,-
Tanjong Pagar,total,5-9,20
Geylang - Total,total,5-9,4270
Aljunied,total,5-9,1500
Geylang East,total,5-9,1310
Kallang Way,total,5-9,-
Kampong Ubi,total,5-9,460
Macpherson,total,5-9,1000
Hougang - Total,total,5-9,9450
Defu Industrial Park,total,5-9,-
Hougang Central,total,5-9,130
Hougang East,total,5-9,1230
Hougang West,total,5-9,1420
Kangkar,total,5-9,1740
Kovan,total,5-9,1110
Lorong Ah Soo,total,5-9,1140
Lorong Halus,total,5-9,-
Tai Seng,total,5-9,560
Trafalgar,total,5-9,2110
Jurong East - Total,total,5-9,2900
International Business Park,total,5-9,-
Jurong Gateway,total,5-9,20
Jurong Port,total,5-9,-
Jurong River,total,5-9,-
Lakeside (Business),total,5-9,-
Lakeside (Leisure),total,5-9,20
Penjuru Crescent,total,5-9,-
Teban Gardens,total,5-9,840
Toh Guan,total,5-9,500
Yuhua East,total,5-9,830
Yuhua West,total,5-9,690
Jurong West - Total,total,5-9,13000
Boon Lay Place,total,5-9,1630
Chin Bee,total,5-9,-
Hong Kah,total,5-9,2180
Jurong West Central,total,5-9,3570
Kian Teck,total,5-9,-
Safti,total,5-9,-
Taman Jurong,total,5-9,2180
Wenya,total,5-9,610
Yunnan,total,5-9,2830
Kallang - Total,total,5-9,4130
Bendemeer,total,5-9,1760
Boon Keng,total,5-9,450
Crawford,total,5-9,200
Geylang Bahru,total,5-9,330
Kallang Bahru,total,5-9,-
Kampong Bugis,total,5-9,20
Kampong Java,total,5-9,450
Lavender,total,5-9,400
Tanjong Rhu,total,5-9,530
Lim Chu Kang - Total,total,5-9,-
Lim Chu Kang,total,5-9,-
Mandai - Total,total,5-9,90
Mandai East,total,5-9,-
Mandai Estate,total,5-9,90
Mandai West,total,5-9,-
Marina East - Total,total,5-9,-
Marina East,total,5-9,-
Marina South - Total,total,5-9,-
Marina South,total,5-9,-
Marine Parade - Total,total,5-9,2420
East Coast,total,5-9,-
Katong,total,5-9,500
Marina East (Mp),total,5-9,-
Marine Parade,total,5-9,1420
Mountbatten,total,5-9,490
Museum - Total,total,5-9,30
Bras Basah,total,5-9,-
Dhoby Ghaut,total,5-9,20
Fort Canning,total,5-9,10
Newton - Total,total,5-9,590
Cairnhill,total,5-9,260
Goodwood Park,total,5-9,140
Istana Negara,total,5-9,-
Monk's Hill,total,5-9,80
Newton Circus,total,5-9,20
Orange Grove,total,5-9,90
North-Eastern Islands - Total,total,5-9,-
North-Eastern Islands,total,5-9,-
Novena - Total,total,5-9,2890
Balestier,total,5-9,1430
Dunearn,total,5-9,210
Malcolm,total,5-9,220
Moulmein,total,5-9,1000
Mount Pleasant,total,5-9,30
Orchard - Total,total,5-9,50
Boulevard,total,5-9,20
Somerset,total,5-9,10
Tanglin,total,5-9,20
Outram - Total,total,5-9,800
China Square,total,5-9,30
Chinatown,total,5-9,580
Pearl's Hill,total,5-9,190
People's Park,total,5-9,-
Pasir Ris - Total,total,5-9,6550
Flora Drive,total,5-9,690
Loyang East,total,5-9,60
Loyang West,total,5-9,-
Pasir Ris Central,total,5-9,1730
Pasir Ris Drive,total,5-9,1990
Pasir Ris Park,total,5-9,580
Pasir Ris Wafer Fab Park,total,5-9,-
Pasir Ris West,total,5-9,1500
Paya Lebar - Total,total,5-9,-
Airport Road,total,5-9,-
Paya Lebar East,total,5-9,-
Paya Lebar North,total,5-9,-
Paya Lebar West,total,5-9,-
Plab,total,5-9,-
Pioneer - Total,total,5-9,-
Benoi Sector,total,5-9,-
Gul Basin,total,5-9,-
Gul Circle,total,5-9,-
Joo Koon,total,5-9,-
Pioneer Sector,total,5-9,-
Punggol - Total,total,5-9,15330
Coney Island,total,5-9,-
Matilda,total,5-9,4850
Northshore,total,5-9,20
Punggol Canal,total,5-9,-
Punggol Field,total,5-9,3360
Punggol Town Centre,total,5-9,2180
Waterway East,total,5-9,4930
Queenstown - Total,total,5-9,4280
Commonwealth,total,5-9,200
Dover,total,5-9,540
Ghim Moh,total,5-9,660
Holland Drive,total,5-9,350
Kent Ridge,total,5-9,-
Margaret Drive,total,5-9,1200
Mei Chin,total,5-9,540
National University Of S'pore,total,5-9,10
One North,total,5-9,60
Pasir Panjang 1,total,5-9,190
Pasir Panjang 2,total,5-9,130
Port,total,5-9,-
Queensway,total,5-9,-
Singapore Polytechnic,total,5-9,-
Tanglin Halt,total,5-9,390
River Valley - Total,total,5-9,610
Institution Hill,total,5-9,270
Leonie Hill,total,5-9,160
One Tree Hill,total,5-9,80
Oxley,total,5-9,70
Paterson,total,5-9,20
Rochor - Total,total,5-9,430
Bencoolen,total,5-9,40
Farrer Park,total,5-9,90
